Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential
TAOB,,Taxilejeunea obtusangula,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXIP,,Taxiphyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAAL3,,Taxiphyllum alternans,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACU3,,Taxiphyllum cuspidifolium,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TADE2,,Taxiphyllum deplanatum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA,,Taxiphyllum taxirameum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXIT,,Taxithelium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAPL2,,Taxithelium planum,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXOD,,Taxodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAAS,,Taxodium ascendens,Tree,,None,High,No,Slow,35,100,Long,None,No,Yes,Yes,High,5.2,7.2,800,40,100,36,Intermediate,7,Routinely Available,Yes,No,Low,Low,
TADI2,,Taxodium distichum,Tree,,None,High,Yes,Rapid,45,130,Long,None,Yes,Yes,Yes,High,4.5,6,800,40,65,40,Intermediate,-18,Routinely Available,Yes,No,,,
TAMU,,Taxodium mucronatum,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXUS,,Taxus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABA80,,Taxus baccata,"Tree, Shrub",,None,High,No,Slow,25,40,Moderate,None,No,Yes,No,Medium,5.3,7.8,1200,35,50,16,Tolerant,-28,Routinely Available,No,No,Low,Low,Low
TABR2,,Taxus brevifolia,Tree,,None,High,No,Slow,8,40,Long,None,No,Yes,No,Low,6.2,7.5,700,24,60,36,Tolerant,-18,Contracting Only,Yes,No,Low,Low,Low
TACA7,,Taxus canadensis,Shrub,,None,High,No,Moderate,5,5,Long,None,No,No,Yes,Medium,5.3,7.5,4800,12,50,24,Tolerant,-28,Routinely Available,No,No,High,Low,Low
TACU,,Taxus cuspidata,Tree,,None,High,No,Slow,30,50,Moderate,None,No,Yes,No,Medium,5.3,7.8,1700,35,50,16,Tolerant,-28,Routinely Available,No,No,Low,Low,Low
TAFL,,Taxus floridana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAME2,,Taxus ×media,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,
TAYLO,,Tayloria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAAC,,Tayloria acuminata,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAFR3,,Tayloria froelichiana,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAHO70,,Tayloria hornschuchii,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALI2,,Tayloria lingulata,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TASE3,,Tayloria serrata,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TASP3,,Tayloria splachnoides,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECOM,,Tecoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA8,,Tecoma capensis,"Vine, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA9,,Tecoma castanifolia,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST,,Tecoma stans,"Tree, Shrub",,None,High,Yes,Rapid,20,20,Moderate,None,Yes,Yes,No,Low,6.5,8,2500,10,40,12,Intolerant,17,Routinely Available,Yes,No,Low,Low,Low
TECOM2,,Tecomanthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDE4,,Tecomanthe dendrophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECTA,,Tectaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM,,Tectaria ×amesiana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECI,,Tectaria cicutaria,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO3,,Tectaria coriandrifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECR2,,Tectaria crenata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEES,,Tectaria estremeriana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFI3,,Tectaria fimbriata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGA,,Tectaria gaudichaudii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHE,,Tectaria heracleifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEIN,,Tectaria incisa,Forb/herb,FLEPPC,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPL2,,Tectaria plantaginea,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPLC,,Tectaria plantaginea var. confluens,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETR,,Tectaria trifoliata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECTO,,Tectona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGR,,Tectona grandis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEESD,,Teesdalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO7,,Teesdalia coronopifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENU,,Teesdalia nudicaulis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELAR,,Telaranea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENE2,,Telaranea nematodes,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELES2,,Telesonix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHE5,,Telesonix heucheriformis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEJA,,Telesonix jamesii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELFA,,Telfairia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOC2,,Telfairia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPE2,,Telfairia pedata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELIO,,Teliostachya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAL,,Teliostachya alopecuroidea,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELLI,,Tellima,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGR2,,Tellima grandiflora,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELOS,,Teloschistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR6,,Teloschistes arcticus,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA17,,Teloschistes californicus,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH2,,Teloschistes chrysophthalmus,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO8,,Teloschistes contortuplicatus,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEEX2,,Teloschistes exilis,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFL4,,Teloschistes flavicans,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELOS2,,Telosma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAF2,,Telosma africana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO11,,Telosma cordata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPHR2,,Tephromela,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAG60,,Tephromela aglaea,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAG2,,Tephromela aglaeida,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR60,,Tephromela armeniaca,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAT60,,Tephromela atra,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE7,,Tephromela testaceoatra,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPHR3,,Tephroseris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAT2,,Tephroseris atropurpurea,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEATA,,Tephroseris atropurpurea ssp. atropurpurea,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEATF2,,Tephroseris atropurpurea ssp. frigida,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEKJ,,Tephroseris kjellmanii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELI6,,Tephroseris lindstroemii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEYU,,Tephroseris yukonensis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPHR,,Tephrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAN,,Tephrosia angustissima,"Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEANA,,Tephrosia angustissima var. angustissima,"Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEANC,,Tephrosia angustissima var. corallicola,"Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEANC2,,Tephrosia angustissima var. curtissii,"Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA5,,Tephrosia candida,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH,,Tephrosia chrysophylla,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECI2,,Tephrosia cinerea,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFL,,Tephrosia florida,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFL2,,Tephrosia ×floridana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHI2,,Tephrosia hispidula,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELE,,Tephrosia leiocarpa,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELI,,Tephrosia lindheimeri,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMO3,,Tephrosia mohrii,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TENI2,,Tephrosia nitens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENO2,,Tephrosia noctiflora,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEON,,Tephrosia onobrychoides,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOX2,,Tephrosia oxygona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPO,,Tephrosia potosina,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPU,,Tephrosia purpurea,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERI2,,Tephrosia richardsiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERU,,Tephrosia rugelii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESE2,,Tephrosia senna,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESE3,,Tephrosia sessiliflora,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TESI2,,Tephrosia sinapou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESP,,Tephrosia spicata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESU3,,Tephrosia subtriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETH,,Tephrosia thurberi,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVE2,,Tephrosia vestita,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVI9,,Tephrosia vicioides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVI8,,Tephrosia villosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVIV,,Tephrosia villosa ssp. villosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVI,,Tephrosia virginiana,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVO2,,Tephrosia vogelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERAM,,Teramnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELA2,,Teramnus labialis,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TERE6,,Teramnus repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEUN,,Teramnus uncinatus,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEVO3,,Teramnus volubilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMI,,Terminalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBE,,Terminalia bellirica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA16,,Terminalia carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA,,Terminalia catappa,"Tree, Shrub",FLEPPC,None,Medium,No,Moderate,45,45,Long,None,Yes,Yes,No,Medium,6,7.5,400,20,100,33,Intermediate,31,Routinely Available,Yes,No,,,
TECH3,,Terminalia chebula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEIV2,,Terminalia ivorensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMU2,,Terminalia muelleri,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMY,,Terminalia myriocarpa,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOB,,Terminalia oblonga,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESA2,,Terminalia samoensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESE8,,Terminalia sericea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESU2,,Terminalia superba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERNS,,Ternstroemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHE3,,Ternstroemia heptasepala,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TELU2,,Ternstroemia luquillensis,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPE,,Ternstroemia peduncularis,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST3,,Ternstroemia stahlii,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TESU,,Ternstroemia subsessilis,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA13,,Tetracarpidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO9,,Tetracarpidium conophorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA24,,Tetrachne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDR2,,Tetrachne dregei,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA,,Tetraclea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECO,,Tetraclea coulteri,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA12,,Tetraclinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR7,,Tetraclinis articulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA2,,Tetracoccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDI,,Tetracoccus dioicus,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHA,,Tetracoccus hallii,"Shrub, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEIL,,Tetracoccus ilicifolius,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA25,,Tetradium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEDA,,Tetradium daniellii,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA3,,Tetradymia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR,,Tetradymia argyraea,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAX,,Tetradymia axillaris,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAXA,,Tetradymia axillaris var. axillaris,"Shrub, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAXL,,Tetradymia axillaris var. longispina,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA2,,Tetradymia canescens,"Subshrub, Shrub",WSWS,None,High,No,Slow,4,4,Moderate,None,Yes,Yes,No,Low,7,8,150,5,11,6,Intolerant,17,Contracting Only,Yes,No,Low,Low,Low
TECO2,,Tetradymia comosa,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFI,,Tetradymia filifolia,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEGL,,Tetradymia glabrata,"Subshrub, Shrub",,None,High,No,Slow,1,12,Moderate,None,Yes,Yes,No,Low,7,8,150,3,11,6,Intolerant,-13,No Known Source,Yes,No,Low,Low,Low
TENU2,,Tetradymia nuttallii,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TESP2,,Tetradymia spinosa,"Subshrub, Shrub",,None,High,No,Slow,3,3.2,Long,None,Yes,Yes,Yes,Low,6.5,8.2,2700,8,14,16,Intolerant,-28,No Known Source,Yes,No,,,
TEST2,,Tetradymia stenolepis,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE4,,Tetradymia tetrameres,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA4,,Tetragastris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEBA,,Tetragastris balsamifera,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA9,,Tetragonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE3,,Tetragonia tetragonioides,"Subshrub, Forb/herb",HEAR,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA18,,Tetragonolobus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEPU6,,Tetragonolobus purpureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA5,,Tetragonotheca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHE2,,Tetragonotheca helianthoides,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELU,,Tetragonotheca ludoviciana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERE2,,Tetragonotheca repanda,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETE2,,Tetragonotheca texana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA22,,Tetralophozia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFI4,,Tetralophozia filiformis,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESE7,,Tetralophozia setiformis,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA6,,Tetramerium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENE,,Tetramerium nervosum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA8,,Tetramicra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECA4,,Tetramicra canaliculata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
TETRA16,,Tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAR3,,Tetramolopium arenarium,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARA,,Tetramolopium arenarium ssp. arenarium,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARA2,,Tetramolopium arenarium ssp. arenarium var. arenarium,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARC,,Tetramolopium arenarium ssp. arenarium var. confertum,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEARL,,Tetramolopium arenarium ssp. laxum,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
